productId,ProductName,Image,Category_Name,Price_Category,isDual,Units,PriceperUnit,MinUnitsperPlate,Units2,PriceperUnits2,MinUnits2perPlate
South Indian Curries_7,Alu Vankaya Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_8,Dondakaya Karam,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_9,Capsicum Karam,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_10,Vankaya Karam,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_11,Alu Fry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_12,Dondakaya Fry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_13,Bendakaya Fry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_14,Banana Fry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_15,Kanda Fry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_16,Panasapottu Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_17,Banana Upma Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_18,Gutthi Vankaya Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_19,Vankaya Ginger,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_20,Beans Coconut Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_21,Carrot Coconut Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_22,Kanda Bachirali,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_23,Avial,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_24,Vankaya Pakodi,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_25,Chikkudukaya Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_26,Beans Parupu Usili,,South Indian Curries,,FALSE,,,,,,
Dal_1,Plain Dal,,Dal,,FALSE,,,,,,
Dal_2,Tomato Dal,,Dal,,FALSE,,,,,,
Dal_3,Dosakaya Dal (Cucumber),,Dal,,FALSE,,,,,,
Dal_4,Palak Dal,,Dal,,FALSE,,,,,,
Dal_5,Sorakaya Dal (Gourd),,Dal,,FALSE,,,,,,
Dal_6,Mango Dal,,Dal,,FALSE,,,,,,
Dal_7,Gongura Dal,,Dal,,FALSE,,,,,,
Sweets_1,Mysore Pak,,Sweets,wt/qty,TRUE,pcs,10,1,gms,0.4,25
Sweets_2,Jilebi,,Sweets,wt/qty,TRUE,pcs,7,1,gms,0.7,10
Sweets_3,Jangri,,Sweets,wt/qty,TRUE,pcs,7,1,gms,0.7,10
Sweets_4,Badusha,,Sweets,wt/qty,TRUE,pcs,20,1,gms,0.3333333333,60
Sweets_5,Laddu (Boondi/Moti Chur/Thookudi/Rava),,Sweets,,FALSE,,,,,,
Sweets_6,Jamoon (Gulab/Kala),,Sweets,wt/qty,TRUE,pcs,10,1,gms,0.16,62.5
Sweets_7,Khaja (Kakinada/Madatha),,Sweets,,FALSE,,,,,,
Sweets_8,Halwa (Moong/Karrot/Sugar/Gummadikaya),,Sweets,,FALSE,,,,,,
Sweets_9,Pootarekulu,,Sweets,,FALSE,,,,,,
Sweets_10,Bobbatlu,,Sweets,,FALSE,,,,,,
Sweets_11,Kaddu Kheer,,Sweets,,FALSE,,,,,,
Sweets_12,Double-Ka-Meeta,,Sweets,,FALSE,,,,,,
Sweets_13,Besan Chakki,,Sweets,,FALSE,,,,,,
Sweets_14,Rava Kesari (Pine Apple Flavour),,Sweets,,FALSE,,,,,,
Sweets_15,Kesari (Plain/Fruit/Semya),,Sweets,,FALSE,,,,,,
Sweets_16,Chakkara Pongal,,Sweets,,FALSE,,,,,,
Sweets_17,Pavyannam,,Sweets,,FALSE,,,,,,
Sweets_18,Semya Payasam,,Sweets,,FALSE,,,,,,
Sweets_19,Burfee (Milk/Kova/Kaju/Coconut),,Sweets,,FALSE,,,,,,
Sweets_20,Special Burfee (Cashew/Pista/Coconut),,Sweets,,FALSE,,,,,,
Sweets_21,Peda (Milk/Kova/Pista/Chocolate),,Sweets,,FALSE,,,,,,
Sweets_22,Soan Papadi,,Sweets,,FALSE,,,,,,
Sweets_23,Kaju Burfi,,Sweets,,FALSE,,,,,,
Sweets_24,Kaju Katli,,Sweets,,FALSE,,,,,,
Sweets_25,Kajune,,Sweets,,FALSE,,,,,,
Sweets_26,Rasagulla,,Sweets,,FALSE,,,,,,
Sweets_27,Rasmalai,,Sweets,,FALSE,,,,,,
